Time [s],F_NEDC,V_NEDC,F_2,V_2,F_1,V_1
141,2562.9026,12.937334,2086.9841,9.790725,294.61005,16.191498
141,2562.9026,12.937334,2086.9841,9.790725,294.61005,16.191498
142,2572.1338,13.400205,1893.6965,9.802302,-349.50623,15.892384
142,2572.1338,13.400205,1893.6965,9.802302,-349.50623,15.892384
143,2581.6895,13.863072,1730.4829,9.791723,805.49585,15.825278
143,2581.6895,13.863072,1730.4829,9.791723,805.49585,15.825278
144,499.22028,13.883897,1559.205,9.776074,695.0632,15.74305
144,499.22028,13.883897,1559.205,9.776074,695.0632,15.74305
145,499.23053,13.883897,1568.7755,9.775979,1279.3624,15.792762
145,499.23053,13.883897,1568.7755,9.775979,1279.3624,15.792762
146,499.23053,13.883897,1762.2755,9.840905,1254.6475,15.848565
146,499.23053,13.883897,1762.2755,9.840905,1254.6475,15.848565
147,499.23053,13.883897,1871.9565,9.94145,1510.6959,15.957115
147,499.23053,13.883897,1871.9565,9.94145,1510.6959,15.957115
148,499.23053,13.883897,1073.2867,9.892734,1734.4918,16.121544
148,499.23053,13.883897,1073.2867,9.892734,1734.4918,16.121544
149,499.23053,13.883897,1497.3683,9.947741,1063.2192,16.156034
149,499.23053,13.883897,1497.3683,9.947741,1063.2192,16.156034
150,499.23053,13.883897,1064.5804,9.939824,1408.1676,16.263697
150,499.23053,13.883897,1064.5804,9.939824,1408.1676,16.263697
151,499.23053,13.883897,1272.5233,9.99498,1344.039,16.375448
151,499.23053,13.883897,1272.5233,9.99498,1344.039,16.375448
152,499.23053,13.883897,1193.4926,10.054937,892.1164,16.407745
152,499.23053,13.883897,1193.4926,10.054937,892.1164,16.407745
153,499.23053,13.883897,705.34546,10.0353775,1274.461,16.515034
153,499.23053,13.883897,705.34546,10.0353775,1274.461,16.515034
154,499.23053,13.883897,818.10614,10.054166,1297.6188,16.625914
154,499.23053,13.883897,818.10614,10.054166,1297.6188,16.625914
155,499.23053,13.883897,600.1686,10.031251,954.6194,16.65712
155,499.23053,13.883897,600.1686,10.031251,954.6194,16.65712
156,-1854.3381,13.386599,496.04846,9.985248,1096.1006,16.711262
156,-1854.3381,13.386599,496.04846,9.985248,1096.1006,16.711262
157,-1864.7126,12.8658695,511.59933,9.945334,1222.3246,16.793333
157,-1864.7126,12.8658695,511.59933,9.945334,1222.3246,16.793333
158,-1874.6876,12.345136,694.5179,9.926155,1212.2874,16.876766
158,-1874.6876,12.345136,694.5179,9.926155,1212.2874,16.876766
159,-1884.2513,11.824398,505.95172,9.853496,1099.0774,16.933455
159,-1884.2513,11.824398,505.95172,9.853496,1099.0774,16.933455
160,-1893.4038,11.303657,575.8623,9.783347,1235.8655,17.015419
160,-1893.4038,11.303657,575.8623,9.783347,1235.8655,17.015419
161,-1902.145,10.78291,679.6937,9.730211,1138.2609,17.07195
161,-1902.145,10.78291,679.6937,9.730211,1138.2609,17.07195
162,-1910.4751,10.26216,323.8086,9.602607,1299.6434,17.15367
162,-1910.4751,10.26216,323.8086,9.602607,1299.6434,17.15367
163,-1918.3938,9.741406,36.256252,9.414454,1154.9203,17.210672
163,-1918.3938,9.741406,36.256252,9.414454,1154.9203,17.210672
164,424.6717,9.717976,-882.7777,9.036606,1427.6528,17.319057
164,424.6717,9.717976,-882.7777,9.036606,1427.6528,17.319057
165,424.662,9.717976,37.443466,8.853792,1333.3777,17.403334
165,424.662,9.717976,37.443466,8.853792,1333.3777,17.403334
166,424.662,9.717976,803.17926,8.853318,1596.0967,17.539595
166,424.662,9.717976,803.17926,8.853318,1596.0967,17.539595
167,424.662,9.717976,453.81158,8.797545,1493.9834,17.651728
167,424.662,9.717976,453.81158,8.797545,1493.9834,17.651728
168,424.662,9.717976,445.34848,8.745546,1505.8724,17.762718
168,424.662,9.717976,445.34848,8.745546,1505.8724,17.762718
169,424.662,9.717976,-1153.1824,8.3622265,1262.8923,17.820704
169,424.662,9.717976,-1153.1824,8.3622265,1262.8923,17.820704
170,424.662,9.717976,-1073.6082,7.987161,1251.5159,17.876373
170,424.662,9.717976,-1073.6082,7.987161,1251.5159,17.876373
171,424.662,9.717976,544.7677,7.963302,1339.9232,17.958822
171,424.662,9.717976,544.7677,7.963302,1339.9232,17.958822
172,424.662,9.717976,-1482.65,7.537154,1184.4912,18.015932
172,424.662,9.717976,-1482.65,7.537154,1184.4912,18.015932
173,424.662,9.717976,-248.51923,7.3660684,1052.7607,18.045029
173,424.662,9.717976,-248.51923,7.3660684,1052.7607,18.045029
174,424.662,9.717976,549.80615,7.390335,927.2497,18.046284
174,424.662,9.717976,549.80615,7.390335,927.2497,18.046284
175,424.662,9.717976,353.6556,7.392297,925.04156,18.046305
175,424.662,9.717976,353.6556,7.392297,925.04156,18.046305
176,424.662,9.717976,167.0635,7.3619404,1180.3417,18.099308
